Lat,Lng,Depth,Mag,Sig,Place,Time,Month,Day,Year,Country
27.247,143.166,10.0,5.0,385,"Bonin Islands, Japan region",2011-01-01 00:02:31.960,1,1,2011,JP
-26.803,-63.136,576.8,7.0,754,"Santiago Del Estero, Argentina",2011-01-01 09:56:58.120,1,1,2011,AR
-49.155,121.555,10.0,5.0,385,western Indian-Antarctic Ridge,2011-01-01 18:37:44.930,1,1,2011,AU
24.653000000000002,97.91799999999999,21.4,5.0,385,Myanmar-China border region,2011-01-01 23:33:39.490,1,1,2011,CN
-19.267,167.81900000000002,28.2,5.0,385,Vanuatu region,2011-01-01 23:35:26.440,1,1,2011,VU
-59.413999999999994,-24.469,35.0,5.1,400,South Sandwich Islands region,2011-01-02 09:23:13.520,1,2,2011,GS
-4.458,101.428,21.6,5.7,500,"southern Sumatra, Indonesia",2011-01-02 15:19:31.040,1,2,2011,ID
-38.355,-73.32600000000001,24.0,7.2,817,"Araucania, Chile",2011-01-02 20:20:17.780,1,2,2011,CL
-59.791000000000004,149.89700000000002,10.0,5.6,482,west of Macquarie Island,2011-01-03 16:43:28.670,1,3,2011,AU
25.912,-110.55799999999999,10.0,5.0,385,Gulf of California,2011-01-03 18:11:20.680,1,3,2011,MX
-41.163999999999994,-90.87100000000001,10.0,5.3,432,southeast of Easter Island,2011-01-03 23:10:15.020,1,3,2011,CL
-16.038,-173.1,26.8,5.3,432,Tonga,2011-01-04 05:54:02.620,1,4,2011,TO
-52.08,139.505,16.3,5.4,449,west of Macquarie Island,2011-01-04 06:06:04.890,1,4,2011,AU
-44.271,-15.777999999999999,10.0,5.1,400,southern Mid-Atlantic Ridge,2011-01-04 18:17:36.880,1,4,2011,SH
-29.039,-69.486,110.0,5.3,441,"San Juan, Argentina",2011-01-04 22:59:10.000,1,4,2011,CL
31.545,142.17700000000002,21.4,5.6,482,"Izu Islands, Japan region",2011-01-05 00:57:32.220,1,5,2011,JP
30.145,51.788999999999994,15.5,5.4,452,southern Iran,2011-01-05 05:55:48.370,1,5,2011,IR
-22.26,171.63099999999997,112.2,6.1,572,southeast of the Loyalty Islands,2011-01-05 06:46:14.630,1,5,2011,VU
-2.654,99.99600000000001,12.7,5.3,432,"Kepulauan Mentawai region, Indonesia",2011-01-05 10:15:35.900,1,5,2011,ID
11.335,-86.634,48.7,5.1,401,near the coast of Nicaragua,2011-01-05 18:31:44.230,1,5,2011,NI
-4.115,142.241,113.2,5.3,432,"New Guinea, Papua New Guinea",2011-01-06 00:23:59.640,1,6,2011,PG
-38.77,175.09400000000002,240.8,5.1,400,North Island of New Zealand,2011-01-06 06:41:58.400,1,6,2011,NZ
-19.497,168.327,4.3,5.2,416,Vanuatu,2011-01-06 16:17:52.610,1,6,2011,VU
-12.238,167.03400000000002,259.7,5.0,385,Santa Cruz Islands,2011-01-06 16:18:34.290,1,6,2011,VU
20.23,-45.74,10.0,5.1,400,northern Mid-Atlantic Ridge,2011-01-06 16:36:12.010,1,6,2011,BB
20.114,-45.617,10.0,5.5,465,northern Mid-Atlantic Ridge,2011-01-07 01:19:16.700,1,7,2011,BB
4.243,90.414,17.0,5.5,465,off the west coast of northern Sumatra,2011-01-07 03:09:58.810,1,7,2011,ID
-21.784000000000002,-65.337,290.4,5.1,400,"Potosi, Bolivia",2011-01-07 04:55:57.260,1,7,2011,BO
-19.835,168.31799999999998,10.0,5.0,385,Vanuatu,2011-01-07 05:55:04.300,1,7,2011,VU
-35.742,-73.001,10.0,5.4,450,"offshore Maule, Chile",2011-01-07 09:42:19.300,1,7,2011,CL
-35.842,-73.587,37.9,5.1,400,"offshore Bio-Bio, Chile",2011-01-07 14:05:37.000,1,7,2011,CL
-25.451999999999998,-177.954,235.4,5.3,432,south of the Fiji Islands,2011-01-07 15:47:00.750,1,7,2011,TO
-19.873,168.141,10.0,5.2,416,Vanuatu,2011-01-07 19:09:05.190,1,7,2011,VU
-53.515,25.19,10.0,5.4,449,south of Africa,2011-01-07 19:28:34.500,1,7,2011,ZA
-54.758,-0.9690000000000001,10.0,5.1,400,Bouvet Island region,2011-01-07 20:03:13.020,1,7,2011,SH
-19.899,-173.752,10.0,5.4,449,Tonga,2011-01-07 23:13:06.220,1,7,2011,TO
30.149,51.593999999999994,29.9,5.0,385,southern Iran,2011-01-07 23:53:03.330,1,7,2011,IR
30.18,51.706,38.6,5.1,403,southern Iran,2011-01-08 00:24:27.700,1,8,2011,IR
-0.026000000000000002,124.913,56.7,5.6,482,Molucca Sea,2011-01-08 04:10:56.690,1,8,2011,ID
-1.1540000000000001,120.086,10.0,5.0,385,"Sulawesi, Indonesia",2011-01-08 08:15:12.900,1,8,2011,ID
26.671999999999997,143.878,15.6,5.1,400,"Bonin Islands, Japan region",2011-01-08 18:23:20.140,1,8,2011,JP
-19.155,168.312,22.0,6.5,654,Vanuatu,2011-01-09 10:03:43.990,1,9,2011,VU
42.398999999999994,144.382,21.6,5.1,400,"Hokkaido, Japan region",2011-01-09 12:42:31.080,1,9,2011,JP
-19.336,168.435,10.0,5.7,500,Vanuatu,2011-01-09 13:00:14.210,1,9,2011,VU
-19.296,168.407,10.0,5.5,465,Vanuatu,2011-01-09 14:54:43.200,1,9,2011,VU
-19.177,168.178,10.0,5.2,416,Vanuatu,2011-01-09 15:55:02.600,1,9,2011,VU
-19.158,168.239,18.0,5.3,432,Vanuatu,2011-01-09 16:58:04.960,1,9,2011,VU
-19.201,168.155,18.0,6.1,572,Vanuatu,2011-01-09 17:21:51.650,1,9,2011,VU
-19.297,168.00900000000001,10.0,5.5,465,Vanuatu,2011-01-09 18:21:06.850,1,9,2011,VU
-19.621,168.204,10.0,5.2,416,Vanuatu,2011-01-09 19:24:26.200,1,9,2011,VU
-19.553,-176.032,228.9,5.6,482,Fiji region,2011-01-10 02:11:09.430,1,10,2011,TO
12.036,43.985,10.0,5.1,400,near the coast of Yemen,2011-01-10 02:29:57.570,1,10,2011,DJ
-35.594,-73.064,24.4,5.9,553,"offshore Maule, Chile",2011-01-10 06:02:51.950,1,10,2011,CL
23.083000000000002,143.166,86.6,5.6,482,"Volcano Islands, Japan region",2011-01-10 10:24:20.980,1,10,2011,MP
-19.715999999999998,168.28799999999998,10.0,5.0,385,Vanuatu,2011-01-10 23:32:46.630,1,10,2011,VU
-35.657,-73.165,30.6,5.0,385,"offshore Maule, Chile",2011-01-11 01:05:28.210,1,11,2011,CL
-35.623000000000005,-71.943,35.0,5.1,402,"Maule, Chile",2011-01-11 05:33:33.860,1,11,2011,CL
-13.265,167.208,221.8,5.5,465,Vanuatu,2011-01-11 09:16:09.550,1,11,2011,VU
