Lat,Lng,Depth,Mag,MMI,Sig,Felt,Place,Time,Month,Day,Year
-31.83,-178.135,35.0,5.0,,385,,Kermadec Islands region,2010-12-30 23:47:03.930,12,30,2010
-19.984,168.353,20.2,5.0,,385,,Vanuatu,2010-12-30 21:22:30.350,12,30,2010
50.38,153.964,190.1,5.0,,385,,Kuril Islands,2010-12-30 19:56:36.380,12,30,2010
56.7391,-156.1674,58.1,5.0,,385,,Alaska Peninsula,2010-12-30 19:21:26.463,12,30,2010
9.989,126.249,58.5,5.0,,385,,"Mindanao, Philippines",2010-12-30 16:56:14.930,12,30,2010
-10.819,165.376,10.0,5.6,4.8,482,,Santa Cruz Islands,2010-12-30 14:36:54.560,12,30,2010
51.626,177.378,56.8,5.5,,465,,"Rat Islands, Aleutian Islands, Alaska",2010-12-30 12:02:41.800,12,30,2010
-19.171,167.952,10.0,5.0,,385,,Vanuatu region,2010-12-30 09:11:50.220,12,30,2010
51.472,16.057,5.0,5.0,6.905,385,,Poland,2010-12-30 08:56:44.730,12,30,2010
-10.588,164.338,28.6,5.2,,416,,Santa Cruz Islands region,2010-12-30 07:35:26.660,12,30,2010
53.113,171.428,10.0,5.3,,432,,"Near Islands, Aleutian Islands, Alaska",2010-12-30 06:56:33.060,12,30,2010
-56.049,-26.711,38.8,5.2,,416,,South Sandwich Islands region,2010-12-30 06:49:58.080,12,30,2010
-23.166,-179.941,543.0,5.0,,385,,south of the Fiji Islands,2010-12-29 23:27:02.900,12,29,2010
30.942,86.508,21.9,5.1,,400,,western Xizang,2010-12-29 18:30:59.750,12,29,2010
-19.497,168.217,10.0,5.0,,385,,Vanuatu,2010-12-29 09:46:19.020,12,29,2010
-19.529,168.109,10.0,5.2,,416,,Vanuatu,2010-12-29 07:09:24.940,12,29,2010
-19.701,168.123,10.0,5.5,,465,,Vanuatu,2010-12-29 07:02:17.340,12,29,2010
-19.661,168.14,16.0,6.4,,630,,Vanuatu,2010-12-29 06:54:19.640,12,29,2010
-19.441,168.052,10.0,5.0,,385,,Vanuatu,2010-12-28 22:02:18.340,12,28,2010
-19.385,168.014,10.4,5.2,,416,,Vanuatu,2010-12-28 21:43:50.150,12,28,2010
8.337,-102.804,10.0,5.4,,449,,northern East Pacific Rise,2010-12-28 21:41:48.430,12,28,2010
-20.114,-173.909,35.0,5.1,,400,,Tonga,2010-12-28 16:59:11.440,12,28,2010
-57.422,-24.434,39.7,5.2,,416,,South Sandwich Islands region,2010-12-28 15:02:42.000,12,28,2010
-23.595,-175.655,35.0,5.0,,385,,Tonga region,2010-12-28 12:38:49.560,12,28,2010
-19.947,168.043,10.0,5.2,,416,,Vanuatu,2010-12-28 12:09:53.080,12,28,2010
